i = 136, x = -1.0, lo = -0.9475913999773808, hi = -0.0524086000226192
i = 137, x = -1.0, lo = -0.9545618030826868, hi = -0.0454381969173132
i = 138, x = -1.0, lo = -0.9606051346877144, hi = -0.0393948653122856
i = 139, x = -1.0, lo = -0.9658446963510169, hi = -0.0341553036489831
i = 140, x = -1.0, lo = -0.9703873903843395, hi = -0.0296126096156605
i = 141, x = -1.0, lo = -0.9743259009710014, hi = -0.0256740990289986
i = 142, x = -1.0, lo = -0.9777405851930647, hi = -0.0222594148069353
i = 143, x = -1.0, lo = -0.9807011125497502, hi = -0.0192988874502498
i = 144, x = -1.0, lo = -0.9832678864180489, hi = -0.0167321135819511
i = 145, x = -1.0, lo = -0.9854932764574628, hi = -0.0145067235425372
i = 146, x = -1.0, lo = -0.9874226871035222, hi = -0.0125773128964778
i = 147, x = -1.0, lo = -0.9890954839504553, hi = -0.0109045160495447
i = 148, x =  1.0, lo = -0.8575446653863864, hi =  1.8575446653863863
i = 149, x =  1.0, lo = -0.6104891230084991, hi =  1.6104891230084992
i = 150, x =  1.0, lo = -0.3962922473194884, hi =  1.3962922473194883
i = 151, x =  1.0, lo = -0.2105837984689193, hi =  1.2105837984689192
i = 152, x =  1.0, lo = -0.0495747834515548, hi =  1.0495747834515547
i = 153, x =  1.0, lo =  0.0900198503807574, hi =  0.9099801496192427
i = 154, x =  1.0, lo =  0.2110482399568052, hi =  0.7889517600431948
i = 155, x =  1.0, lo =  0.3159797167710740, hi =  0.6840202832289259
i = 156, x =  1.0, lo =  0.4069551884351412, hi =  0.5930448115648588
i = 157, x =  1.0, lo =  0.4858308194257272, hi =  0.5141691805742727
i = 158, x =  1.0, lo =  0.5542159022438288, hi =  0.4457840977561712
i = 159, x =  1.0, lo =  0.6135056916668354, hi =  0.3864943083331646
i = 160, x =  1.0, lo =  0.6649098720079603, hi =  0.3350901279920397
i = 161, x =  1.0, lo =  0.7094772381979565, hi =  0.2905227618020435
i = 162, x =  1.0, lo =  0.7481170942550358, hi =  0.2518829057449642
i = 163, x =  1.0, lo =  0.7816178057340764, hi =  0.2183821942659236
i = 164, x =  1.0, lo =  0.8106628846790924, hi =  0.1893371153209076
i = 165, x =  1.0, lo =  0.8358449352588244, hi =  0.1641550647411756
i = 166, x =  1.0, lo =  0.8576777446170170, hi =  0.1423222553829830
i = 167, x =  1.0, lo =  0.8766067656259267, hi =  0.1233932343740733
i = 168, x =  1.0, lo =  0.8930182054217537, hi =  0.1069817945782463
i = 169, x =  1.0, lo =  0.9072469051545757, hi =  0.0927530948454243
i = 170, x =  1.0, lo =  0.9195831717226248, hi =  0.0804168282773752
i = 171, x =  1.0, lo =  0.9302787008781747, hi =  0.0697212991218253
i = 172, x =  1.0, lo =  0.9395517125536438, hi =  0.0604482874463562
i = 173, x =  1.0, lo =  0.9475914031835149, hi =  0.0524085968164851
i = 174, x =  1.0, lo =  0.9545618058624015, hi =  0.0454381941375985
i = 175, x =  1.0, lo =  0.9606051370977239, hi =  0.0393948629022761
i = 176, x =  1.0, lo =  0.9658446984404924, hi =  0.0341553015595076
i = 177, x =  1.0, lo =  0.9703873921959124, hi =  0.0296126078040876
i = 178, x =  1.0, lo =  0.9743259025416330, hi =  0.0256740974583670
i = 179, x =  1.0, lo =  0.9777405865548006, hi =  0.0222594134451994
i = 180, x =  1.0, lo =  0.9807011137303737, hi =  0.0192988862696263
i = 181, x =  1.0, lo =  0.9832678874416482, hi =  0.0167321125583518
i = 182, x =  1.0, lo =  0.9854932773449222, hi =  0.0145067226550778
i = 183, x =  1.0, lo =  0.9874226878729487, hi =  0.0125773121270513
i = 184, x =  1.0, lo =  0.9890954846175473, hi =  0.0109045153824527
i = 185, x = -1.0, lo =  0.8575446659647543, hi = -1.8575446659647543
i = 186, x = -1.0, lo =  0.6104891235099434, hi = -1.6104891235099434
i = 187, x = -1.0, lo =  0.3962922477542401, hi = -1.3962922477542401
i = 188, x = -1.0, lo =  0.2105837988458484, hi = -1.2105837988458483
i = 189, x = -1.0, lo =  0.0495747837783520, hi = -1.0495747837783520
i = 190, x = -1.0, lo = -0.0900198500974246, hi = -0.9099801499025754
i = 191, x = -1.0, lo = -0.2110482397111560, hi = -0.7889517602888440
